Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
Отоларингологическая установка С31;СРТ000599;КУР Хирургическое отделение;02.04.2009
Стол операционный унивесальный медицинский ОУ-01К;СРТ000641;КУР Хирургическое отделение;02.04.2009
Набор очковых линз TLS-AF TOPCON;УПК006124;КУР Хирургическое отделение;26.06.2013
Щелевая лампа SL-1E;УПК006712;КУР Хирургическое отделение;01.12.2015
"Прибор для электро-хирургии ""Сургитрон ЕМС"" портативный";УПК006132;КУР Хирургическое отделение;01.12.2015
"Стол общехирургический ""ОК - Гамма - 03""";УПК006158;КУР Хирургическое отделение;01.12.2015
"Стол общехирургический ""ОК - Гамма - 03""";УПК006159;КУР Хирургическое отделение;01.12.2015
Аппарат ТОНЗИЛООР- ММ ультразвуковой низкочастотный оториноларингологический;КУР000003;КУР Хирургическое отделение;01.12.2015
Видеогастроскоп Pentax EG-290Kp;КУР000006;КУР Хирургическое отделение;01.12.2015
Видеоколоноскоп Pentax EС-380Lkp;КУР000007;КУР Хирургическое отделение;01.12.2015
Видеопроцессор Pentax EPK-100р;КУР000008;КУР Хирургическое отделение;01.12.2015
Лампа операционная и смотровая мод. ML301;КУР000017;КУР Хирургическое отделение;01.12.2015
Лампа операционная и смотровая мод. ML301;КУР000020;КУР Хирургическое отделение;01.12.2015
Лампа операционная и смотровая мод. ML301;КУР000021;КУР Хирургическое отделение;01.12.2015
Видеопроцессор Pentax EPK-100р;КУР000022;КУР Хирургическое отделение;01.12.2015
Аппарат АГМ-МП-03-1 (АГМ-03) код ОКП 94-4180 (Ацидогастрометр микропроцессорный);УПК003814;КУР Хирургическое отделение;22.09.2010
Эндоскоп 2,7мм, 0 град., 110мм;КУР000032;КУР Хирургическое отделение;01.12.2015
Эндоскоп 2,7мм, 30 град., 110мм;КУР000033;КУР Хирургическое отделение;01.12.2015
Эндоскоп 4мм, 0 град., 50мм;КУР000034;КУР Хирургическое отделение;01.12.2015
Эндоскоп-ларингоскоп 10мм, 90 град., 174мм;КУР000035;КУР Хирургическое отделение;01.12.2015
Налобная лампа со штекером для Workstation ATMOS S61;КУР000046;КУР Хирургическое отделение;26.12.2015
Автокераторефрактотонометр ТRK-1P;УПК007098;КУР Хирургическое отделение;10.12.2014
Кресло гинекологическое КГМ-3П;УПК006749;КУР Хирургическое отделение;01.12.2015
Кресло медицинское LOJER 6801 с принадлежностями;УПК008211;МСК - Заборник № 2;10.09.2020
Кресло медицинское LOJER 6801 с принадлежностями;БП-000030;МСК - Заборник № 3;01.10.2021
Стойка для регистратуры;БП-000037;МСК - Заборник № 3;31.10.2021
Коммутатор Huawei S5720-36C-EI bundle (28*10/100/1000BASE-T ports, 4 of which are 10/100/1000BASE-T+;БП-000183;МСК СМП Администрация;31.03.2022
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер dcomНН;УПК006838;МСК СМП Отделение скорой медицинской помощи;25.06.2013
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер AD;УПК006829;МСК СМП Отделение скорой медицинской помощи;10.06.2013
Сервер Prolliant DL380р Gen8 T5-2609 Rack(2U)/Xeon4C компл сервер dcom;УПК006828;МСК СМП Отделение скорой медицинской помощи;10.06.2013
"Электрокардиостимулятор ЭКС-ЧСП-01-02-""Сетал""";УПК007366;МСК СМП Отделение скорой медицинской помощи;10.06.2016
Отсос переносной MINIC VL-60 с принадлежностями;УПК007365;МСК СМП Отделение скорой медицинской помощи;10.06.2016
Отсос-аспиратор электрический медицинский Accuvac Rescue, с принадлежностями;УПК007707;МСК СМП Отделение скорой медицинской помощи;07.02.2019
Монитор пациента VISIO с принадлежностями, SPO2;УПК007364;МСК СМП Отделение скорой медицинской помощи;10.06.2016
Монитор прикроватный Mindray PM-7000 с принадлежностями;УПК005381;МСК СМП Отделение скорой медицинской помощи;05.12.2011
Отсос-аспиратор электрический медицинский Accuvac Rescue, с принадлежностями;УПК007709;МСК СМП Отделение скорой медицинской помощи;07.02.2019
Маршрутизатор CPAP-SG2200-NGFW Check Point 2200 Next Generation Firewall Appliance for HA;УПК007317;МСК СМП Отделение скорой медицинской помощи;26.02.2016
Отсос-аспиратор электрический медицинский Accuvac Rescue, с принадлежностями;УПК007708;МСК СМП Отделение скорой медицинской помощи;07.02.2019
Маршрутизатор CPAP-SG2200-NGFW Check Point 2200 Next Generation Firewall Appliance;УПК007316;МСК СМП Отделение скорой медицинской помощи;26.02.2016
Маршрутизатор Chek Point UTM-1 13 Total Security Applians;УПК005418;МСК СМП Отделение скорой медицинской помощи;11.01.2012
Мотор VDW SILVER RECIPROC + угл. наконеч. SIRONA 6.1 (БЕЗ СТАРТОВОГО НАБОРА);БП-000980;МСК- РЯЗ Стоматологическое отделение;14.02.2023
Мотор VDW SILVER RECIPROC + угл. наконеч. SIRONA 6.1 (БЕЗ СТАРТОВОГО НАБОРА);БП-000979;МСК- РЯЗ Стоматологическое отделение;14.02.2023
Сервер Gladius 2025ХQ08 2540;УПК003516;МСК-КДЛ Административный отдел;02.07.2010
Сервер HP (752689-B21) DL380Gen9 2xE5-2650v3;УПК007255;МСК-КДЛ Административный отдел;30.10.2015
Сервер IBM 7915K4G Express x3650 M4, Xeon 6C E5-2630 комплект;УПК006794;МСК-КДЛ Административный отдел;08.02.2013
Сервер Proliant DL380p Ланит;УПК007062;МСК-КДЛ Административный отдел;23.10.2014
Система видеонаблюдения;1777;МСК-КДЛ Административный отдел;05.02.2008
Сервер Gladius 4025XQR24 2340;УПК005200;МСК-КДЛ Административный отдел;01.01.2011
ИБП Powerware 6000 ВА;УПК007638;МСК-КДЛ Административный отдел;15.10.2018
Коммутатор Huawei S6720-30C-EI-24S-AC;БП-001297;МСК-КДЛ Административный отдел;19.01.2024
Центрифуга 5702 с ротором и адаптером;МДМ000276;МСК-КДЛ Клинико-диагностическая лаборатория;13.11.2007
Микроскоп Olympus CX31RBSF;УПК006909;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Оборудование для электрофареза серии SAS, модели: SAS-1 Plus с принадлежностями;УПК006910;МСК-КДЛ Клинико-диагностическая лаборатория;12.08.2013
Оборудование для электрофареза серии SAS, модели: SAS-2 Plus с принадлежностями + ПО Platinum;УПК006911;МСК-КДЛ Клинико-диагностическая лаборатория;12.08.2013
Центрифуга лабараторная без охлаждения мод.Rotofix 32 с принадлежностями;УПК005524;МСК-КДЛ Клинико-диагностическая лаборатория;10.01.2012
Прибор для автоматизированного микробиологического посева WASP с принадлежностями;УПК006940;МСК-КДЛ Клинико-диагностическая лаборатория;06.09.2013
Инкубатор для карт гелевых Across для in vitro иммуногематологических исследований;БП-001355;МСК-КДЛ Клинико-диагностическая лаборатория;18.03.2024
Центрифуга для карт гелевых Across для in vitro иммуногематологических исследований;БП-001354;МСК-КДЛ Клинико-диагностическая лаборатория;18.03.2024
Компрессор DK-50;БП-001229;МСК-КДЛ Клинико-диагностическая лаборатория;18.01.2024
Анализатор иммуноферментный автоматический ЛАЗУРИТ;БП-001194;МСК-КДЛ Клинико-диагностическая лаборатория;01.09.2023
Стол медицинский лабараторный ВШ-150, 01;УПК005568;МСК-КДЛ Клинико-диагностическая лаборатория;10.01.2012
Анализатор иммуноферментный автоматический ЛАЗУРИТ;БП-001193;МСК-КДЛ Клинико-диагностическая лаборатория;01.09.2023
Анализатор электролитов модель 9180 Electrolyte Analyzer;БП-001192;МСК-КДЛ Клинико-диагностическая лаборатория;01.09.2023
ИБП UPS 3000VA Ippon Innova RT 3K LCD+ComPort+USB (подкл-е доп. батарей);БП-001191;МСК-КДЛ Клинико-диагностическая лаборатория;01.09.2023
Стол медицинский лабараторный ВШ-150, 02;УПК005570;МСК-КДЛ Клинико-диагностическая лаборатория;10.01.2012
Аппарат для хранения крови, вакцин MPR-311D;ЦБД003295;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
Центрифуга Hettich Rotofix 32;ЦБД003284;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
ИБП UPS 3000VA Ippon Innova RT 3K LCD+ComPort+USB (подкл-е доп. батарей);БП-001190;МСК-КДЛ Клинико-диагностическая лаборатория;01.09.2023
Устройство промывочное Anthos Fluido2 с принадлежностями;УПК006889;МСК-КДЛ Клинико-диагностическая лаборатория;01.08.2013
Аппарат для хранения крови, вакцин MPR-311D;ЦБД003270;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
Аппарат для хранения крови, вакцин MDF-192;ЦБД003253;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
"Бокс лабораторный с УФ лампой БЛ-ПЦР-""ДНК-Техн.""";ЦБД003247;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
Аппарат для хранения крови, вакцин MPR-311D;ЦБД003243;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
"Анализатор фракций гемоглобина АФГ-02 ""ПОЛИГЕМ""";УПК007506;МСК-КДЛ Клинико-диагностическая лаборатория;07.08.2017
Вентилятор BP-300-45 №2,5 0.55кВТ;УПК007176;МСК-КДЛ Клинико-диагностическая лаборатория;05.05.2015
Автомат для окрашивания Varistain Gemini с подогревом,Thermo;УПК006962;МСК-КДЛ Клинико-диагностическая лаборатория;22.10.2013
Центрифуга лабораторная Hettich MIKRO 185 с ротором 1226-A, вставки для 1,5 мл. пробирок;УПК008337;МСК-КДЛ Клинико-диагностическая лаборатория;19.02.2021
Центрифуга для ID - карт;ЦБД003302;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
Ридер Quantum Blue для определения кальпротектина;УПК007085;МСК-КДЛ Клинико-диагностическая лаборатория;05.12.2014
Морозильник -35, 138л., горизонтальный MDF-137 Sanio;УПК007253;МСК-КДЛ Клинико-диагностическая лаборатория;09.10.2015
Шкаф ламинарный NU-437-300E, NuAir 900mm;УПК006946;МСК-КДЛ Клинико-диагностическая лаборатория;12.09.2013
Система автоматизированная Cobas p312 для преаналитической обработки образцов (+компр+устр Connect);УПК007520;МСК-КДЛ Клинико-диагностическая лаборатория;17.10.2017
Анализатор микробиологический BD BBL Cristal AutoReader с принадлежностями;УПК006893;МСК-КДЛ Клинико-диагностическая лаборатория;10.09.2013
Амплификатор детектирующий Дтпрайм в модификации 4М1;УПК007585;МСК-КДЛ Клинико-диагностическая лаборатория;07.06.2018
Центрифуга лабораторная Hettich MIKRO 185 с ротором 1226-A, вставки для 1,5 мл. пробирок;БП-000028;МСК-КДЛ Клинико-диагностическая лаборатория;07.10.2021
Амплификатор детектирующий Дтпрайм в модификации 5М1;УПК007586;МСК-КДЛ Клинико-диагностическая лаборатория;07.06.2018
Аппарат для хранения крови, вакцин MPR-311D;ЦБД003283;МСК-КДЛ Клинико-диагностическая лаборатория;02.11.2009
Амплификатор детектирующий Дтпрайм в модификации 4М1;УПК006886;МСК-КДЛ Клинико-диагностическая лаборатория;29.07.2013
Анализатор гематологический ХN, с принадлежностями, ХN-1000 (RET/PLT-F) SA-10;УПК007464;МСК-КДЛ Клинико-диагностическая лаборатория;02.02.2017
Анализатор автоматический для определения скорости оседания эритроцитов (СОЭ) с принад укомплектов;УПК006887;МСК-КДЛ Клинико-диагностическая лаборатория;29.07.2013
Анализатор автоматический микроскопии мочи iQ200 SPRINT с принадлежностями;УПК007460;МСК-КДЛ Клинико-диагностическая лаборатория;27.01.2017
Анализатор - фотометр микропланшетный Anthos 2020 с принадлежностями;УПК006888;МСК-КДЛ Клинико-диагностическая лаборатория;01.08.2013
"Анализатор бактериологический ""Адажио"" (ADAGIO) с принадлежностями";УПК006892;МСК-КДЛ Клинико-диагностическая лаборатория;01.10.2013
Масс-спектрометр Microflex LT/SH с принадлежностями;УПК006896;МСК-КДЛ Клинико-диагностическая лаборатория;30.09.2013
Нефелометр микробиологический BD PhoenixSpec Nephelometer с принадлежностями ;УПК006897;МСК-КДЛ Клинико-диагностическая лаборатория;10.09.2013
"Анализатор мочи ""Aution Max AX-4030"" с принадлежностями+соед. мост";УПК007459;МСК-КДЛ Клинико-диагностическая лаборатория;27.01.2017
Микроскоп Olympus CX31RBSF;УПК006905;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Модуль для розлива сред автоматический AWMD1070-MD320, AWEL, в комплекте с трубками;УПК006929;МСК-КДЛ Клинико-диагностическая лаборатория;03.09.2013
"Амплификатор детектирующий ""ДТпрайм"" по ТУ 9443-004-96301278-2010 в модификации 5М1";БП-001499;МСК-КДЛ Клинико-диагностическая лаборатория;28.10.2024
Анализатор иммунохимический для in vitro диагностики ARCHITECT i2000sr module с принадлежностями;УПК005422;МСК-КДЛ Клинико-диагностическая лаборатория;10.01.2012
Средоварка AWMP1080-MP9 объем до 9л., AWEL, в комплекте с фильтрами;УПК006928;МСК-КДЛ Клинико-диагностическая лаборатория;03.09.2013
Центрифуга Rotofix 32a, Hettich укомлект;УПК006875;МСК-КДЛ Клинико-диагностическая лаборатория;28.06.2013
Инкубатор-CO2, 53л. Binder укомпл;УПК006870;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Автоклав 75л., вертикальный, автомат, MLS-3781L Sanio;УПК006869;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Амплификатор C1000 Touch в комплекте с модулем CFX96;БП-000042;МСК-КДЛ Клинико-диагностическая лаборатория;12.11.2021
Автоклав 75л., вертикальный, автомат, MLS-3781L Sanio;УПК006868;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Анализатор биохимический, Konelab Prime 60i укомлектован;УПК006865;МСК-КДЛ Клинико-диагностическая лаборатория;25.06.2013
Микротом санный МС-2;УПК007178;МСК-КДЛ Клинико-диагностическая лаборатория;15.05.2015
Ламинарный бокс ЛБ-1К;БП-000161;МСК-КДЛ Клинико-диагностическая лаборатория;01.04.2022
Инкубатор для предметных стекол с эл.контролем териостатирования - Shandon Slide Drying Hotplate;УПК007257;МСК-КДЛ Клинико-диагностическая лаборатория;06.11.2015
Автоклав 75л., вертикальный, автомат, MLS-3781L Sanyo;УПК007323;МСК-КДЛ Клинико-диагностическая лаборатория;23.03.2016
Центрифуга лабараторная без охлаждения мод.Rotofix 32 с принадлежностями;УПК005523;МСК-КДЛ Клинико-диагностическая лаборатория;10.01.2012
Анализатор автоматический для определения скорости оседания эритроцитов (СОЭ) TEST1 BCL;УПК008077;МСК-КДЛ Клинико-диагностическая лаборатория;10.09.2019
Анализатор гематологический автоматический BC-6800Plus;БП-001048;МСК-КДЛ Клинико-диагностическая лаборатория;03.04.2023
"Промыватель планшетов автоматический ""Аквамарин"" ВБ01";БП-000184;МСК-КДЛ Клинико-диагностическая лаборатория;12.04.2022
Микроскоп Olympus CX31RBSF;УПК006906;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Весы 1600г/0,01г,MS1602S, Mettler Toledo;УПК007034;МСК-КДЛ Клинико-диагностическая лаборатория;23.09.2014
Микроскоп Olympus SZ51;УПК006899;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Устройство для получения очищенной воды и воды для инъекций АКВАЛАБ;БП-000139;МСК-КДЛ Клинико-диагностическая лаборатория;11.02.2022
Процессор магнитных частиц для очистки нуклеиновых кислот, клеток и белков KingFisher Flex 96;БП-000141;МСК-КДЛ Клинико-диагностическая лаборатория;01.03.2022
Микроскоп Olympus BX43F;УПК006900;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Микроскоп Olympus BX43F;УПК006901;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Микроскоп Olympus BX46F;УПК006902;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Микроскоп Olympus CX31RBSF;УПК006907;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Микроскоп  микробиологический Olympus BX43F;УПК006903;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Модульная установка (станция водоочистки) серии LabTower 40AFT;УПК007637;МСК-КДЛ Клинико-диагностическая лаборатория;15.10.2018
Шкаф ламинарный NU-437-300E, NuAir 900mm;УПК006947;МСК-КДЛ Клинико-диагностическая лаборатория;12.09.2013
Анализатор биохимический AU680 с ISE модулем и принадлежностями;УПК007636;МСК-КДЛ Клинико-диагностическая лаборатория;29.10.2018
Термостат 720л, RS422 Binder;УПК007033;МСК-КДЛ Клинико-диагностическая лаборатория;03.09.2014
Анализатор иммунохемилюминесцентный Иммулайт 2000 с принадлежностями;УПК006884;МСК-КДЛ Клинико-диагностическая лаборатория;19.07.2013
Микроскоп Olympus CX31RBSF;УПК006904;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Центрифуга Hettich Rotofix 32;603;МСК-КДЛ Клинико-диагностическая лаборатория;15.12.2005
Микроскоп Olympus CX31RBSF;УПК006908;МСК-КДЛ Клинико-диагностическая лаборатория;15.08.2013
Шкаф ламинарный NU-437-300E, NuAir 900mm;УПК006948;МСК-КДЛ Клинико-диагностическая лаборатория;12.09.2013
Система очистки воды RiOs-Di 3 UV,3 л/час, Millipore;УПК006960;МСК-КДЛ Клинико-диагностическая лаборатория;16.10.2013
Шкаф ламинарный NU-437-300E, NuAir 900mm;УПК006949;МСК-КДЛ Клинико-диагностическая лаборатория;12.09.2013
Азотный лазер MNL 100;БП-001129;МСК-КДЛ Сервисный отдел;01.08.2023
Кондиционер кассетный GC-4C48HRF;БП-000084;"МСК-МДМ Клиника ""МДМ""";31.12.2021
Система тревожной сигнализации (МДМ);БП-001396;"МСК-МДМ Клиника ""МДМ""";05.06.2024
МДМ (с 01.04.2024 по 31.03.2029). Арендованное нежилое помещение;БП-001372;"МСК-МДМ Клиника ""МДМ""";01.04.2024
Пожарная сигнализация;БП-000923;"МСК-МДМ Клиника ""МДМ""";30.12.2022
Монитор жидкокристаллический для визуализации в радиологии, серия MX, вариант исполнения MX50N;БП-001516;МСК-МДМ Отделение лучевой диагностики;07.11.2024
Кассета маммографическая REGIUS для систем компьютерной радиографии, 24х30см. (10х12 дюймов);УПК007362;МСК-МДМ Отделение лучевой диагностики;31.05.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 24х30см. (10х12 дюймов);УПК007361;МСК-МДМ Отделение лучевой диагностики;31.05.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 24х30см. (10х12 дюймов);УПК007360;МСК-МДМ Отделение лучевой диагностики;31.05.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 24х30см. (10х12 дюймов);УПК007359;МСК-МДМ Отделение лучевой диагностики;31.05.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 18х24см. (8х10дюймов);УПК007358;МСК-МДМ Отделение лучевой диагностики;31.05.2016
Кассета маммографическая REGIUS для систем компьютерной радиографии, 18х24см. (8х10дюймов);УПК007357;МСК-МДМ Отделение лучевой диагностики;31.05.2016
Маммографическая система Alpha ST;МДМ000509;МСК-МДМ Отделение лучевой диагностики;09.04.2007
Ортопантомограф Orthoralix 9200 DDE Plus;УПК004765;МСК-МДМ Отделение лучевой диагностики;23.03.2011
Дозиметр рентгеновского излучения клинический ДРК-1 (основное исполнение);БП-000888;МСК-МДМ Отделение лучевой диагностики;13.12.2022
Монитор жидкокристаллический для визуализации в радиологии, серия MX, вариант исполнения MX30N;БП-001014;МСК-МДМ Отделение лучевой диагностики;01.03.2023
Монитор жидкокристаллический для визуализации в радиологии, серия MX, вариант исполнения MX30N;БП-001013;МСК-МДМ Отделение лучевой диагностики;01.03.2023
Камера лазерная мультиформатная медицинская DRYPRO МОДЕЛЬ 873  с принадлежностями;УПК006773;МСК-МДМ Отделение лучевой диагностики;28.02.2013
Система компьютерной радиографии REGIUS МОДЕЛЬ 210  (DIRECT DIGITIZER ) с принадлежностями;УПК006776;МСК-МДМ Отделение лучевой диагностики;28.02.2013
Аппарат рентгеновский интраоральный Expert DC;УПК004764;МСК-МДМ Отделение лучевой диагностики;23.03.2011
Монитор жидкокристаллический для визуализации в радиологии, серия MX, вариант исполнения MX50N;БП-001515;МСК-МДМ Отделение лучевой диагностики;07.11.2024
Система рентгенографическая DR-F;УПК006340;МСК-МДМ Отделение лучевой диагностики;15.11.2012
Система дистанционно-управляемая рентгенодиагностическая Precision RXI с принадлежностями ;УПК006341;МСК-МДМ Отделение лучевой диагностики;15.11.2012
Визиограф стоматологический GXS-700 с принадлежностями;БП-000099;МСК-МДМ Отделение лучевой диагностики;31.12.2021
Отсеивающая решетка Daylight для пленки 24*30 (S30701BF);УПК006936;МСК-МДМ Отделение лучевой диагностики;28.08.2013
Кассета и пластина REGIUS в сборе для систем компьютерной радиографии, 14х17дюймов (35х43см);УПК007583;МСК-МДМ Отделение лучевой диагностики;25.05.2018
Стойка регистратуры на 6 рабочих мест, 6000/1000*700*1200 мм;УПК008358;МСК-МДМ Регистратура;30.04.2021
Стойка ресепшн 1800*1400*1150;УПК005969;МСК-МДМ Регистратура;27.06.2012
Авторефкератотонометр RKT-7700;УПК007160;МСК-МДМ Сервисный отдел;12.03.2015
Аппарат ударно-волновой терапии BTL-6000 SWT с принадлежностями;БП-001179;МСК-МДМ Сервисный отдел;31.08.2023
Видеогастроскоп EG29-i10;БП-000969;МСК-МДМ Сервисный отдел;31.01.2023
Электрокардиограф MAC 2000 с принадлежностями;БП-000096;МСК-МДМ Сервисный отдел;31.12.2021
Аппарат ТОНЗИЛООР- ММ ультразвуковой низкочастотный оториноларингологический;НСК000187;МСК-МДМ Склад старшей сестры;30.08.2013
Автоклав MELAquick 12+, 1,35л. (ø9 x 20cм);БП-000984;МСК-МДМ Стоматологическое отделение;28.02.2023
Установка стоматологическая O.M.S. universal (12/892) оранж.;УПК006020;МСК-МДМ Стоматологическое отделение;01.12.2012
Установка стоматологическая LINEA ESSE (оранжевый) OMS Италия;УПК006606;МСК-МДМ Стоматологическое отделение;10.06.2013
Аппарат ультразвуковой пародонтологический Vector Paro с наконечником Paro ll;УПК007040;МСК-МДМ Стоматологическое отделение;01.10.2014
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УПК007205;МСК-МДМ Стоматологическое отделение;24.06.2015
Компрессор стоматологический CATTANI-одноцилиндровый;УПК008247;МСК-МДМ Стоматологическое отделение;23.11.2020
Компрессор стоматологический CATTANI-одноцилиндровый;УПК008248;МСК-МДМ Стоматологическое отделение;23.11.2020
Установка стоматологическая СТАНДАРТНАЯ LINEA ESSE;БП-001015;МСК-МДМ Стоматологическое отделение;17.03.2023
Установка стоматологическая UNIVERSAL CARVING (2000268);УПК008249;МСК-МДМ Стоматологическое отделение;23.11.2020
Установка стоматологическая UNIVERSAL CARVING (2000268);УПК008250;МСК-МДМ Стоматологическое отделение;23.11.2020
Лампа стоматологическая отбеливающая;УПК007500;МСК-МДМ Стоматологическое отделение;30.06.2017
Мотор эндодонтический X-Smart Plus работающий в реципрокном и обычном режиме;БП-000987;МСК-МДМ Стоматологическое отделение;10.03.2023
Аппарат QUATTROcare PLUS 2124A - набор по АКЦИИ;БП-000162;МСК-МДМ Стоматологическое отделение;07.04.2022
Автоклав паровой (стерилизатор) Melag MELAguick 12;УПК008294;МСК-МДМ Стоматологическое отделение;09.12.2020
Аппарат стоматологический для получения и обработки цифровых трехмерных моделей зубов;БП-000977;МСК-МДМ Стоматологическое отделение;20.02.2023
Аппарат для импланталогии и хирургии Implantmed Classic SI-923;БП-000985;МСК-МДМ Стоматологическое отделение;27.02.2023
Аппарат  радиохирургический RFS-3800К с принадлежностями;УПК007716;МСК-МДМ Стоматологическое отделение;27.02.2019
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УПК007407;МСК-МДМ Стоматологическое отделение;07.09.2016
Мотор VDW GOLD RECIPROC+ угл. наконеч. SIRONA 6.1;БП-000152;МСК-МДМ Стоматологическое отделение;22.03.2022
Лампа стоматологическая полимеризационная DEMI ULTRA (Kerr);БП-000186;МСК-МДМ Стоматологическое отделение;18.04.2022
Лампа для отбеливания Flash;БП-001168;МСК-МДМ Стоматологическое отделение;01.08.2023
Система ультразвуковая диагностическая с принадлежностями LOGIQ S8;УПК007456;МСК-МДМ Терапевтическое отделение №1;19.01.2017
Электрокардиограф MAC 2000 с принадлежностями;БП-000098;МСК-МДМ Терапевтическое отделение №1;31.12.2021
Кресло гинекологическое КГМ-3П;УПК006001;МСК-МДМ Терапевтическое отделение №1;27.07.2012
"Столик-тележка медицинская инструментальная ""Медицинофф"" 567*695*1010мм, с принадлежностями, F-20(s";БП-001505;МСК-МДМ Терапевтическое отделение №1;24.10.2024
Излучатель УЗ1+ 3 МГц 7-ми штырьковый площадь 5,0см;БП-001417;МСК-МДМ Терапевтическое отделение №1;31.07.2024
Аппарат для спирометрии MIR, модель Minispir с принадлежностями ;БП-001393;МСК-МДМ Терапевтическое отделение №1;25.06.2024
Система ультразвуковая диагностическая VIVID S70N с принадлежностями;УПК008295;МСК-МДМ Терапевтическое отделение №1;09.12.2020
Система ультразвуковая диагностическая LOGIQ S8;УПК008296;МСК-МДМ Терапевтическое отделение №1;09.12.2020
Датчик ML6-15-D Кат.№5499600;УПК008297;МСК-МДМ Терапевтическое отделение №1;09.12.2020
Система ультрозвуковая диагностическая медицинская LOGIO, модель Р5 с принадлежносями;УПК006741;МСК-МДМ Терапевтическое отделение №1;10.12.2012
Пристенный модуль с мойкой одинарной ПМ-13, 800х600х900;БП-000332;МСК-МДМ Терапевтическое отделение №1;01.09.2022
Пристенный модуль с мойкой одинарной ПМ-13, 800х600х900;БП-000333;МСК-МДМ Терапевтическое отделение №1;01.09.2022
Установка ультразвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК006708;МСК-МДМ Терапевтическое отделение №1;01.04.2015
Дерматоскоп  Delta 20 Plus в наборе с принадлежностями Heine Optotechnik GmbH &Co. KG;БП-000965;МСК-МДМ Терапевтическое отделение №1;30.01.2023
Кресло гинекологическое КГМ-3П;УПК006203;МСК-МДМ Терапевтическое отделение №1;04.09.2015
Система ультрозвуковая диагностическая медицинская LOGIO, модель Р5 с принадлежносями;УПК005334;МСК-МДМ Терапевтическое отделение №1;10.10.2011
Датчик ультразвуковой ML6-15-D;БП-001457;МСК-МДМ Терапевтическое отделение №1;10.10.2024
"Прибор для электро-радиохирургии ""Сургитрон "" ";УПК006974;МСК-МДМ Терапевтическое отделение №1;31.10.2013
Установка ультразвуковая диагностическая медицинская Logiq S8 с принадлежностями;УПК006980;МСК-МДМ Терапевтическое отделение №1;09.12.2013
Система ультразвуковая диагностическая с принадлежностями LOGIQ S8;УПК007666;МСК-МДМ Терапевтическое отделение №1;30.11.2018
Эвакуатор дыма Surg-e-Vac SV220 (в базовой комплектации);УПК005048;МСК-МДМ Терапевтическое отделение №1;04.02.2011
Система ультразвуковая диагностическая медицинская LOGIC S8 с принадлежностями;БП-001018;МСК-МДМ Терапевтическое отделение №1;26.04.2023
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт;УПК005947;МСК-МДМ Терапевтическое отделение №1;04.07.2012
Датчик линейный 8L-RS;УПК007171;МСК-МДМ Терапевтическое отделение №1;21.04.2015
"Столик-тележка медицинская инструментальная ""Медицинофф"" 567*695*1010мм, с принадлежностями, F-20(s";БП-001507;МСК-МДМ Терапевтическое отделение №1;24.10.2024
Аппарат лазерный СО-2 КОСМО ПУЛЬС 25 медицинский;УПК006032;МСК-МДМ Терапевтическое отделение №1;19.12.2012
Датчик IC5-9-D для аппарата УЗИ Logiq S8;УПК008298;МСК-МДМ Терапевтическое отделение №1;09.12.2020
Датчик M5S-D конвергентный ультразвуковой;УПК008068;МСК-МДМ Терапевтическое отделение №1;23.08.2019
"Столик-тележка медицинская инструментальная ""Медицинофф"" 567*695*1010мм, с принадлежностями, F-20(s";БП-001506;МСК-МДМ Терапевтическое отделение №1;24.10.2024
